case_number,court_id,state,district,judge_id,case_type,case_category,bench_type,current_stage,stage_index,filing_date,case_age_days,stage_age_days,hearings_held,adjournments,adjournment_rate,stagnation_flag,is_undertrial,district_avg_disposal_days,statutory_deadline_days,days_beyond_statutory,disposal_days,delay_risk_score,delay_risk_label
CASE/2287/2016,UTT-LUC-09,Uttar Pradesh,Lucknow,JDG-189,Criminal,Commercial,Sessions,Execution,7,2022-08-03,881,101,24,6,0.25,1,0,373,365,516,14,62.71,High
CASE/3583/2018,DEL-EAS-02,Delhi,East,JDG-127,Civil,POCSO,Sessions,Execution,7,2020-08-31,1583,3,33,11,0.333,0,0,140,365,1218,10,42.95,Medium
CASE/7360/2024,BIH-GAY-18,Bihar,Gaya,JDG-877,Criminal,Motor_Accident,Single_Judge,Execution,7,2018-02-13,2513,43,68,23,0.338,0,0,996,1825,688,10,52.36,High
CASE/3528/2020,KAR-MAN-11,Karnataka,Mangaluru,JDG-489,Criminal,NDPS,Single_Judge,Judgment,6,2016-02-23,3234,4,80,21,0.263,0,1,299,1095,2139,26,63.63,High
CASE/0712/2022,UTT-VAR-12,Uttar Pradesh,Varanasi,JDG-487,Writ,General_Criminal,Single_Judge,Execution,7,2021-01-05,1456,21,34,17,0.5,0,0,608,730,726,30,48.49,Medium
CASE/3151/2016,UTT-VAR-20,Uttar Pradesh,Varanasi,JDG-891,Revision,Matrimonial,Division_Bench,Execution,7,2015-07-07,3465,21,90,28,0.311,0,0,477,1825,1640,69,50.66,High
CASE/4555/2022,RAJ-JAI-08,Rajasthan,Jaipur,JDG-266,Appeal,SC_ST,Full_Bench,Execution,7,2022-02-16,1049,35,25,11,0.44,1,0,248,730,319,73,67.48,High
CASE/1170/2024,GUJ-VAD-07,Gujarat,Vadodara,JDG-646,Execution,NDPS,Division_Bench,Execution,7,2022-02-13,1052,33,23,5,0.217,0,0,346,1095,0,121,40.19,Medium
CASE/9126/2018,TAM-COI-15,Tamil Nadu,Coimbatore,JDG-963,Writ,Motor_Accident,Full_Bench,Execution,7,2022-09-05,848,261,21,7,0.333,1,0,726,1825,0,24,35.94,Medium
CASE/4387/2016,MAH-PUN-02,Maharashtra,Pune,JDG-997,Appeal,Matrimonial,Sessions,Arguments,5,2017-05-14,2788,21,68,22,0.324,0,0,485,1825,963,10,64.05,High
