court_id,Critical,High,Medium,Low,Total,Avg Priority Score
WES-DUR-09,6,8,3,0,17,67.1
BIH-GAY-19,5,5,2,1,13,63.3
KAR-MYS-19,5,9,2,0,16,64.1
UTT-ALL-17,5,6,0,1,12,66.7
KAR-HUB-04,5,6,2,0,13,66.8
RAJ-JOD-14,5,7,3,0,15,62.8
GUJ-VAD-15,5,9,3,0,17,63.8
WES-DUR-05,5,4,1,0,10,69.8
BIH-BHA-02,4,10,0,1,15,67.6
GUJ-RAJ-03,4,7,1,0,12,67.0
MAH-MUM-06,4,13,2,0,19,65.4
BIH-GAY-13,4,12,2,1,19,64.9
WES-DUR-14,4,5,2,0,11,66.4
KAR-BEN-10,4,7,3,1,15,61.7
GUJ-AHM-08,4,5,2,0,11,63.8
MAH-MUM-19,4,4,2,0,10,64.9
BIH-GAY-18,4,12,1,1,18,65.4
MAD-IND-15,4,3,3,0,10,62.0
GUJ-AHM-09,4,8,2,0,14,66.5
MAH-NAG-09,4,6,3,0,13,62.6
MAH-NAS-02,4,8,0,1,13,64.0
RAJ-JOD-02,4,4,1,2,11,58.4
UTT-LUC-05,4,8,2,2,16,60.7
UTT-VAR-08,4,11,0,1,16,66.0
MAD-IND-16,4,10,0,0,14,70.5
UTT-ALL-15,4,5,1,0,10,68.0
MAD-IND-11,4,14,2,0,20,65.0
WES-SIL-14,4,4,1,0,9,67.5
RAJ-UDA-19,4,6,3,0,13,63.1
BIH-PAT-18,4,9,6,0,19,58.9
RAJ-UDA-15,4,7,1,2,14,58.5
WES-KOL-07,4,10,1,1,16,65.1
WES-SIL-10,4,7,2,0,13,63.4
WES-SIL-16,4,8,2,0,14,67.8
RAJ-KOT-14,4,13,1,1,19,65.8
RAJ-KOT-05,4,9,1,0,14,65.5
TAM-COI-10,3,11,4,0,18,62.8
DEL-NOR-20,3,7,7,0,17,58.1
DEL-NOR-17,3,5,3,1,12,58.6
DEL-SOU-05,3,9,1,3,16,57.6
DEL-CEN-14,3,10,3,2,18,59.7
DEL-NOR-09,3,6,5,0,14,58.4
RAJ-JAI-12,3,5,2,0,10,64.4
RAJ-KOT-01,3,7,3,3,16,55.2
TAM-CHE-08,3,6,4,1,14,57.6
DEL-EAS-02,3,10,1,0,14,66.2
MAH-PUN-19,3,8,1,1,13,59.5
DEL-EAS-10,3,8,3,1,15,61.8
DEL-EAS-12,3,8,2,3,16,54.8
DEL-EAS-13,3,16,4,0,23,62.7
