case_number,court_id,state,district,judge_id,case_type,case_category,bench_type,current_stage,stage_index,filing_date,case_age_days,stage_age_days,hearings_held,adjournments,adjournment_rate,stagnation_flag,is_undertrial,district_avg_disposal_days,statutory_deadline_days,days_beyond_statutory,disposal_days,delay_risk_score,delay_risk_label,case_age_normalized,hearing_density,stage_completion_ratio,case_type_enc,case_category_enc,bench_type_enc,current_stage_enc,state_enc,legal_urgency_score,urgency_flags,predicted_disposal_days,ml_delay_risk_score,ml_delay_risk_label,priority_score,priority_label,priority_emoji,court_rank,docket_label
CASE/4502/2023,BIH-BHA-01,Bihar,Bhagalpur,JDG-614,Revision,POCSO,Single_Judge,Judgment,6,2018-03-20,2478,32,54,18,0.3333333333333333,1,0,117,365,2113,52,66.7,High,6.789041095890411,0.6537530266343826,0.8571428571428571,4,6,4,5,0,65.0,⚠️ STATUTORY DEADLINE BREACHED (2478d > 365d); 🔴 POCSO: Mandatory speedy trial (Sec 35); 📛 Aged case: 6+ years pending,52,66.7,High,78.68,Critical,🔴,1,[#1] 🔴 Critical
CASE/9711/2017,BIH-BHA-01,Bihar,Bhagalpur,JDG-856,Revision,Motor_Accident,Magistrate,Judgment,6,2015-12-26,3293,303,77,28,0.36363636363636365,1,0,610,1825,1468,51,66.7,High,1.8043835616438355,0.7014880048587914,0.8571428571428571,4,4,2,5,0,60.0,⚠️ STATUTORY DEADLINE BREACHED (3293d > 1825d); 🟥 Critical stagnation: 303d in 'Judgment' stage (limit 60d); 📛 Aged case: 9+ years pending,51,66.7,High,78.61,Critical,🔴,2,[#2] 🔴 Critical
CASE/4046/2021,BIH-BHA-01,Bihar,Bhagalpur,JDG-234,Civil,Property_Dispute,Full_Bench,Arguments,5,2015-04-01,3562,139,77,33,0.42857142857142855,0,0,1468,2920,642,44,66.7,Medium,1.2198630136986301,0.6485120718697361,0.7142857142857143,1,7,1,1,0,55.0,⚠️ STATUTORY DEADLINE BREACHED (3562d > 2920d); 🟠 Stagnation detected: 139d in 'Arguments' stage; 📛 Aged case: 9+ years pending,44,66.7,High,74.49,High,🟠,3,[#3] 🟠 High
CASE/9419/2015,BIH-BHA-01,Bihar,Bhagalpur,JDG-392,Civil,POCSO,Division_Bench,Arguments,5,2019-03-23,2110,9,33,13,0.3939393939393939,0,0,158,365,1745,49,33.3,High,5.780821917808219,0.46919431279620855,0.7142857142857143,1,6,0,1,0,65.0,⚠️ STATUTORY DEADLINE BREACHED (2110d > 365d); 🔴 POCSO: Mandatory speedy trial (Sec 35); 📛 Aged case: 5+ years pending,49,33.3,Medium,71.25,High,🟠,4,[#4] 🟠 High
CASE/2305/2023,BIH-BHA-01,Bihar,Bhagalpur,JDG-964,Appeal,Senior_Citizen,Single_Judge,Judgment,6,2017-02-02,2889,3,67,24,0.3582089552238806,0,0,125,180,2709,47,33.3,High,16.05,0.6957424714434061,0.8571428571428571,0,9,4,5,0,60.0,⚠️ STATUTORY DEADLINE BREACHED (2889d > 180d); 🟠 Senior Citizen: Expedited disposal mandated; 📛 Aged case: 7+ years pending,47,33.3,Medium,71.1,High,🟠,5,[#5] 🟠 High
CASE/0795/2021,BIH-BHA-01,Bihar,Bhagalpur,JDG-570,Civil,Motor_Accident,Magistrate,Arguments,5,2018-09-20,2294,36,48,23,0.4791666666666667,0,0,689,1825,469,47,66.7,High,1.256986301369863,0.6277244986922406,0.7142857142857143,1,4,2,1,0,45.0,⚠️ STATUTORY DEADLINE BREACHED (2294d > 1825d); 📛 Aged case: 6+ years pending,47,66.7,High,68.9,High,🟠,6,[#6] 🟠 High
CASE/3040/2022,BIH-BHA-01,Bihar,Bhagalpur,JDG-817,Execution,NDPS,Full_Bench,Judgment,6,2020-09-07,1576,86,42,15,0.35714285714285715,1,0,495,1095,481,49,66.7,High,1.439269406392694,0.799492385786802,0.8571428571428571,3,5,1,5,0,40.0,⚠️ STATUTORY DEADLINE BREACHED (1576d > 1095d); 📛 Long-pending: 4+ years,49,66.7,High,67.31,High,🟠,7,[#7] 🟠 High
CASE/9283/2018,BIH-BHA-01,Bihar,Bhagalpur,JDG-987,Criminal,Motor_Accident,Sessions,Execution,7,2016-12-07,2946,8,79,19,0.24050632911392406,0,0,887,1825,1121,46,33.3,High,1.6142465753424657,0.8044806517311609,1.0,2,4,3,3,0,45.0,⚠️ STATUTORY DEADLINE BREACHED (2946d > 1825d); 📛 Aged case: 8+ years pending,46,33.3,Medium,65.96,High,🟠,8,[#8] 🟠 High
CASE/4895/2018,BIH-BHA-01,Bihar,Bhagalpur,JDG-242,Criminal,Property_Dispute,Magistrate,Execution,7,2015-05-23,3510,137,77,25,0.3246753246753247,0,0,1520,2920,590,48,33.3,Medium,1.202054794520548,0.6581196581196581,1.0,2,7,2,3,0,45.0,⚠️ STATUTORY DEADLINE BREACHED (3510d > 2920d); 📛 Aged case: 9+ years pending,48,33.3,Medium,63.95,High,🟠,9,[#9] 🟠 High
CASE/8011/2024,BIH-BHA-01,Bihar,Bhagalpur,JDG-227,Civil,General_Civil,Division_Bench,Execution,7,2019-05-08,2064,175,51,22,0.43137254901960786,1,0,806,2190,0,52,66.7,High,0.9424657534246575,0.7412790697674418,1.0,1,1,0,3,0,35.0,🔔 Approaching statutory deadline (94% elapsed); 📛 Aged case: 5+ years pending,52,66.7,High,60.53,High,🟠,10,[#10] 🟠 High
CASE/9901/2019,BIH-BHA-01,Bihar,Bhagalpur,JDG-116,Criminal,Senior_Citizen,Single_Judge,Execution,7,2023-05-10,601,9,15,1,0.06666666666666667,0,0,104,180,421,36,33.3,Medium,3.338888888888889,0.7487520798668884,1.0,2,9,4,3,0,50.0,⚠️ STATUTORY DEADLINE BREACHED (601d > 180d); 🟠 Senior Citizen: Expedited disposal mandated,36,33.3,Medium,56.14,High,🟠,11,[#11] 🟠 High
CASE/7868/2024,BIH-BHA-01,Bihar,Bhagalpur,JDG-975,Appeal,Commercial,Single_Judge,Judgment,6,2023-06-24,556,6,11,3,0.2727272727272727,0,0,322,365,191,43,33.3,Medium,1.5232876712328767,0.5935251798561151,0.8571428571428571,0,0,4,5,0,45.0,⚠️ STATUTORY DEADLINE BREACHED (556d > 180d); ⚖️ Commercial Courts Act: Disposal overdue (>6 months),43,33.3,Medium,53.78,High,🟠,12,[#12] 🟠 High
CASE/3567/2022,BIH-BHA-01,Bihar,Bhagalpur,JDG-958,Criminal,Motor_Accident,Sessions,Execution,7,2022-01-22,1074,68,31,15,0.4838709677419355,0,0,923,1825,0,48,33.3,Low,0.5884931506849315,0.8659217877094972,1.0,2,4,3,3,0,15.0,📅 Past halfway of statutory limit,48,33.3,Medium,37.43,Medium,🟡,13,[#13] 🟡 Medium
CASE/8376/2016,BIH-BHA-01,Bihar,Bhagalpur,JDG-900,Execution,Property_Dispute,Division_Bench,Evidence,4,2023-07-05,545,39,19,6,0.3157894736842105,0,0,1150,2920,0,714,0.0,Low,0.18664383561643835,1.0458715596330275,0.5714285714285714,3,7,0,2,0,0.0,No urgent flags,714,0.0,Low,13.83,Low,🟢,14,[#14] 🟢 Low
CASE/3521/2021,BIH-BHA-02,Bihar,Bhagalpur,JDG-250,Civil,POCSO,Single_Judge,Execution,7,2018-07-09,2367,27,46,9,0.1956521739130435,1,0,134,365,2002,49,66.7,High,6.484931506849315,0.5830164765525981,1.0,1,6,4,3,0,65.0,⚠️ STATUTORY DEADLINE BREACHED (2367d > 365d); 🔴 POCSO: Mandatory speedy trial (Sec 35); 📛 Aged case: 6+ years pending,49,66.7,High,78.45,Critical,🔴,1,[#1] 🔴 Critical
